rank,input_difference,output_mask,samples,matches,probability,bias,correlation,abs_correlation,standard_error,approx_95ci_low,approx_95ci_high,seed,rounds,feedforward
75,w04.b00,w07.b23,512,267,0.521484375,0.021484375,0.04296875,0.04296875,0.02207667841292644,0.47821408531066417,0.5647546646893358,20260617,4,False
76,w08.b09,w00.b07,512,267,0.521484375,0.021484375,0.04296875,0.04296875,0.02207667841292644,0.47821408531066417,0.5647546646893358,20260617,4,False
77,w08.b13+w12.b13,w01.b00,512,267,0.521484375,0.021484375,0.04296875,0.04296875,0.02207667841292644,0.47821408531066417,0.5647546646893358,20260617,4,False
78,w08.b13+w12.b13,w05.b09,512,267,0.521484375,0.021484375,0.04296875,0.04296875,0.02207667841292644,0.47821408531066417,0.5647546646893358,20260617,4,False
79,w09.b03,w00.b00+w01.b00,512,267,0.521484375,0.021484375,0.04296875,0.04296875,0.02207667841292644,0.47821408531066417,0.5647546646893358,20260617,4,False
80,w09.b03,w12.b23,512,245,0.478515625,-0.021484375,-0.04296875,0.04296875,0.02207667841292644,0.43524533531066417,0.5217859146893358,20260617,4,False
81,w09.b28,w12.b04,512,245,0.478515625,-0.021484375,-0.04296875,0.04296875,0.02207667841292644,0.43524533531066417,0.5217859146893358,20260617,4,False
82,w15.b18,w05.b09+w10.b09,512,267,0.521484375,0.021484375,0.04296875,0.04296875,0.02207667841292644,0.47821408531066417,0.5647546646893358,20260617,4,False
83,w00.b00,w00.b07,512,266,0.51953125,0.01953125,0.0390625,0.0390625,0.02208022173666532,0.476254015396136,0.562808484603864,20260617,4,False
84,w00.b00,w08.b13+w12.b13,512,246,0.48046875,-0.01953125,-0.0390625,0.0390625,0.02208022173666532,0.437191515396136,0.523745984603864,20260617,4,False
85,w00.b00+w01.b00,w05.b09,512,246,0.48046875,-0.01953125,-0.0390625,0.0390625,0.02208022173666532,0.437191515396136,0.523745984603864,20260617,4,False
86,w01.b25,w00.b07,512,266,0.51953125,0.01953125,0.0390625,0.0390625,0.02208022173666532,0.476254015396136,0.562808484603864,20260617,4,False
87,w01.b25,w13.b00,512,266,0.51953125,0.01953125,0.0390625,0.0390625,0.02208022173666532,0.476254015396136,0.562808484603864,20260617,4,False
88,w05.b00+w10.b00,w07.b23,512,266,0.51953125,0.01953125,0.0390625,0.0390625,0.02208022173666532,0.476254015396136,0.562808484603864,20260617,4,False
89,w05.b07,w13.b00,512,266,0.51953125,0.01953125,0.0390625,0.0390625,0.02208022173666532,0.476254015396136,0.562808484603864,20260617,4,False
90,w06.b24,w00.b00,512,266,0.51953125,0.01953125,0.0390625,0.0390625,0.02208022173666532,0.476254015396136,0.562808484603864,20260617,4,False
91,w08.b09,w05.b09,512,266,0.51953125,0.01953125,0.0390625,0.0390625,0.02208022173666532,0.476254015396136,0.562808484603864,20260617,4,False
92,w08.b13+w12.b13,w15.b18,512,266,0.51953125,0.01953125,0.0390625,0.0390625,0.02208022173666532,0.476254015396136,0.562808484603864,20260617,4,False
93,w09.b03,w00.b07+w04.b07,512,266,0.51953125,0.01953125,0.0390625,0.0390625,0.02208022173666532,0.476254015396136,0.562808484603864,20260617,4,False
94,w09.b28,w10.b13,512,246,0.48046875,-0.01953125,-0.0390625,0.0390625,0.02208022173666532,0.437191515396136,0.523745984603864,20260617,4,False
95,w12.b13,w00.b07+w04.b07,512,246,0.48046875,-0.01953125,-0.0390625,0.0390625,0.02208022173666532,0.437191515396136,0.523745984603864,20260617,4,False
96,w12.b13,w12.b04,512,266,0.51953125,0.01953125,0.0390625,0.0390625,0.02208022173666532,0.476254015396136,0.562808484603864,20260617,4,False
97,w15.b28,w15.b18,512,266,0.51953125,0.01953125,0.0390625,0.0390625,0.02208022173666532,0.476254015396136,0.562808484603864,20260617,4,False
98,w00.b00+w01.b00,w03.b29,512,247,0.482421875,-0.017578125,-0.03515625,0.03515625,0.022083427111108663,0.439138357862227,0.525705392137773,20260617,4,False
99,w00.b07+w04.b07,w00.b00,512,265,0.517578125,0.017578125,0.03515625,0.03515625,0.022083427111108663,0.474294607862227,0.560861642137773,20260617,4,False
100,w01.b25,w12.b04,512,247,0.482421875,-0.017578125,-0.03515625,0.03515625,0.022083427111108663,0.439138357862227,0.525705392137773,20260617,4,False
101,w04.b00,w05.b09,512,247,0.482421875,-0.017578125,-0.03515625,0.03515625,0.022083427111108663,0.439138357862227,0.525705392137773,20260617,4,False
102,w05.b00+w10.b00,w00.b00,512,265,0.517578125,0.017578125,0.03515625,0.03515625,0.022083427111108663,0.474294607862227,0.560861642137773,20260617,4,False
103,w05.b00+w10.b00,w01.b00,512,265,0.517578125,0.017578125,0.03515625,0.03515625,0.022083427111108663,0.474294607862227,0.560861642137773,20260617,4,False
104,w05.b00+w10.b00,w12.b23,512,265,0.517578125,0.017578125,0.03515625,0.03515625,0.022083427111108663,0.474294607862227,0.560861642137773,20260617,4,False
105,w05.b07,w05.b09+w10.b09,512,247,0.482421875,-0.017578125,-0.03515625,0.03515625,0.022083427111108663,0.439138357862227,0.525705392137773,20260617,4,False
106,w06.b24,w08.b13+w12.b13,512,265,0.517578125,0.017578125,0.03515625,0.03515625,0.022083427111108663,0.474294607862227,0.560861642137773,20260617,4,False
107,w06.b24,w10.b13,512,247,0.482421875,-0.017578125,-0.03515625,0.03515625,0.022083427111108663,0.439138357862227,0.525705392137773,20260617,4,False
108,w09.b03,w01.b00,512,265,0.517578125,0.017578125,0.03515625,0.03515625,0.022083427111108663,0.474294607862227,0.560861642137773,20260617,4,False
109,w09.b28,w15.b18,512,247,0.482421875,-0.017578125,-0.03515625,0.03515625,0.022083427111108663,0.439138357862227,0.525705392137773,20260617,4,False
110,w15.b18,w00.b07,512,247,0.482421875,-0.017578125,-0.03515625,0.03515625,0.022083427111108663,0.439138357862227,0.525705392137773,20260617,4,False
111,w15.b18,w00.b07+w04.b07,512,265,0.517578125,0.017578125,0.03515625,0.03515625,0.022083427111108663,0.474294607862227,0.560861642137773,20260617,4,False
112,w15.b18,w03.b29,512,247,0.482421875,-0.017578125,-0.03515625,0.03515625,0.022083427111108663,0.439138357862227,0.525705392137773,20260617,4,False
113,w00.b00,w03.b29,512,248,0.484375,-0.015625,-0.03125,0.03125,0.022086294683395784,0.44108586242054426,0.5276641375794557,20260617,4,False
114,w00.b00+w01.b00,w00.b07,512,248,0.484375,-0.015625,-0.03125,0.03125,0.022086294683395784,0.44108586242054426,0.5276641375794557,20260617,4,False
115,w01.b00,w00.b00+w01.b00,512,264,0.515625,0.015625,0.03125,0.03125,0.022086294683395784,0.47233586242054426,0.5589141375794557,20260617,4,False
116,w01.b00,w03.b29,512,248,0.484375,-0.015625,-0.03125,0.03125,0.022086294683395784,0.44108586242054426,0.5276641375794557,20260617,4,False
117,w01.b00,w08.b13+w12.b13,512,248,0.484375,-0.015625,-0.03125,0.03125,0.022086294683395784,0.44108586242054426,0.5276641375794557,20260617,4,False
118,w05.b00+w10.b00,w05.b09,512,264,0.515625,0.015625,0.03125,0.03125,0.022086294683395784,0.47233586242054426,0.5589141375794557,20260617,4,False
119,w05.b00+w10.b00,w15.b18,512,264,0.515625,0.015625,0.03125,0.03125,0.022086294683395784,0.47233586242054426,0.5589141375794557,20260617,4,False
120,w05.b07,w00.b07+w04.b07,512,264,0.515625,0.015625,0.03125,0.03125,0.022086294683395784,0.47233586242054426,0.5589141375794557,20260617,4,False
121,w05.b07,w01.b00,512,248,0.484375,-0.015625,-0.03125,0.03125,0.022086294683395784,0.44108586242054426,0.5276641375794557,20260617,4,False
122,w06.b24,w01.b00,512,248,0.484375,-0.015625,-0.03125,0.03125,0.022086294683395784,0.44108586242054426,0.5276641375794557,20260617,4,False
123,w06.b24,w15.b18,512,264,0.515625,0.015625,0.03125,0.03125,0.022086294683395784,0.47233586242054426,0.5589141375794557,20260617,4,False
124,w08.b09,w05.b09+w10.b09,512,264,0.515625,0.015625,0.03125,0.03125,0.022086294683395784,0.47233586242054426,0.5589141375794557,20260617,4,False
125,w08.b09,w13.b19,512,264,0.515625,0.015625,0.03125,0.03125,0.022086294683395784,0.47233586242054426,0.5589141375794557,20260617,4,False
126,w08.b13+w12.b13,w07.b23,512,264,0.515625,0.015625,0.03125,0.03125,0.022086294683395784,0.47233586242054426,0.5589141375794557,20260617,4,False
127,w08.b13+w12.b13,w12.b23,512,248,0.484375,-0.015625,-0.03125,0.03125,0.022086294683395784,0.44108586242054426,0.5276641375794557,20260617,4,False
128,w09.b03,w05.b09+w10.b09,512,248,0.484375,-0.015625,-0.03125,0.03125,0.022086294683395784,0.44108586242054426,0.5276641375794557,20260617,4,False
129,w09.b28,w00.b07,512,264,0.515625,0.015625,0.03125,0.03125,0.022086294683395784,0.47233586242054426,0.5589141375794557,20260617,4,False
130,w12.b13,w13.b19,512,264,0.515625,0.015625,0.03125,0.03125,0.022086294683395784,0.47233586242054426,0.5589141375794557,20260617,4,False
131,w15.b18,w00.b00+w01.b00,512,248,0.484375,-0.015625,-0.03125,0.03125,0.022086294683395784,0.44108586242054426,0.5276641375794557,20260617,4,False
132,w00.b00,w13.b00,512,249,0.486328125,-0.013671875,-0.02734375,0.02734375,0.022088824585087156,0.4430340288132292,0.5296222211867708,20260617,4,False
133,w01.b00,w01.b00,512,249,0.486328125,-0.013671875,-0.02734375,0.02734375,0.022088824585087156,0.4430340288132292,0.5296222211867708,20260617,4,False
134,w01.b00,w07.b23,512,249,0.486328125,-0.013671875,-0.02734375,0.02734375,0.022088824585087156,0.4430340288132292,0.5296222211867708,20260617,4,False
135,w01.b00,w12.b04,512,263,0.513671875,0.013671875,0.02734375,0.02734375,0.022088824585087156,0.4703777788132292,0.5569659711867708,20260617,4,False
136,w01.b00,w13.b19,512,263,0.513671875,0.013671875,0.02734375,0.02734375,0.022088824585087156,0.4703777788132292,0.5569659711867708,20260617,4,False
137,w01.b25,w15.b18,512,263,0.513671875,0.013671875,0.02734375,0.02734375,0.022088824585087156,0.4703777788132292,0.5569659711867708,20260617,4,False
138,w05.b00+w10.b00,w03.b29,512,263,0.513671875,0.013671875,0.02734375,0.02734375,0.022088824585087156,0.4703777788132292,0.5569659711867708,20260617,4,False
139,w05.b00+w10.b00,w10.b13,512,263,0.513671875,0.013671875,0.02734375,0.02734375,0.022088824585087156,0.4703777788132292,0.5569659711867708,20260617,4,False
140,w08.b09,w00.b00+w01.b00,512,249,0.486328125,-0.013671875,-0.02734375,0.02734375,0.022088824585087156,0.4430340288132292,0.5296222211867708,20260617,4,False
141,w08.b09,w01.b00,512,249,0.486328125,-0.013671875,-0.02734375,0.02734375,0.022088824585087156,0.4430340288132292,0.5296222211867708,20260617,4,False
142,w09.b03,w08.b13+w12.b13,512,263,0.513671875,0.013671875,0.02734375,0.02734375,0.022088824585087156,0.4703777788132292,0.5569659711867708,20260617,4,False
143,w09.b28,w00.b00,512,249,0.486328125,-0.013671875,-0.02734375,0.02734375,0.022088824585087156,0.4430340288132292,0.5296222211867708,20260617,4,False
